lemma,global_position,role,deprel,partner_lemma
step,502,head,compound:prt,up
step,502,head,conj,follow
step,502,head,conj,sit
step,502,head,punct,.
up,503,dependent,compound:prt,step
",",504,dependent,punct,follow
follow,505,dependent,conj,step
follow,505,head,punct,","
follow,505,head,obj,he
follow,505,head,advmod,wearily
follow,505,head,advmod,halfway
he,506,dependent,obj,follow
wearily,507,dependent,advmod,follow
halfway,508,dependent,advmod,follow
and,509,dependent,cc,sit
sit,510,dependent,conj,step
sit,510,head,cc,and
sit,510,head,compound:prt,down
sit,510,head,obl,edge
sit,510,head,advcl,watch
down,511,dependent,compound:prt,sit
on,512,dependent,case,edge
the,513,dependent,det,edge
edge,514,dependent,obl,sit
edge,514,head,case,on
edge,514,head,det,the
edge,514,head,nmod,gunrest
of,515,dependent,case,gunrest
the,516,dependent,det,gunrest
gunrest,517,dependent,nmod,edge
gunrest,517,head,case,of
gunrest,517,head,det,the
",",518,dependent,punct,watch
watch,519,dependent,advcl,sit
watch,519,head,punct,","
watch,519,head,obj,he
watch,519,head,advmod,still
watch,519,head,advcl,proppe
watch,519,head,conj,dip
he,520,dependent,obj,watch
still,521,dependent,advmod,watch
as,522,dependent,mark,proppe
he,523,dependent,nsubj,proppe
proppe,524,dependent,advcl,watch
proppe,524,head,mark,as
proppe,524,head,nsubj,he
proppe,524,head,obj,mirror
proppe,524,head,obl,parapet
his,525,dependent,nmod:poss,mirror
mirror,526,dependent,obj,proppe
mirror,526,head,nmod:poss,his
on,527,dependent,case,parapet
the,528,dependent,det,parapet
parapet,529,dependent,obl,proppe
parapet,529,head,case,on
parapet,529,head,det,the
",",530,dependent,punct,dip
dip,531,dependent,conj,watch
dip,531,head,punct,","
dip,531,head,obj,brush
dip,531,head,obl,bowl
dip,531,head,conj,lather
the,532,dependent,det,brush
brush,533,dependent,obj,dip
brush,533,head,det,the
in,534,dependent,case,bowl
the,535,dependent,det,bowl
bowl,536,dependent,obl,dip
bowl,536,head,case,in
bowl,536,head,det,the
and,537,dependent,cc,lather
lather,538,dependent,conj,dip
lather,538,head,cc,and
lather,538,head,obj,cheek
cheek,539,dependent,obj,lather
cheek,539,head,conj,neck
and,540,dependent,cc,neck
neck,541,dependent,conj,cheek
neck,541,head,cc,and
.,542,dependent,punct,step
buck,543,dependent,nmod:poss,voice
buck,543,head,flat,mulligan
buck,543,head,case,'s
mulligan,544,dependent,flat,buck
's,545,dependent,case,buck
gay,546,dependent,amod,voice
voice,547,dependent,nsubj,go
voice,547,head,nmod:poss,buck
voice,547,head,amod,gay
go,548,head,nsubj,voice
go,548,head,compound:prt,on
go,548,head,punct,.
on,549,dependent,compound:prt,go
.,550,dependent,punct,go
—,551,dependent,punct,absurd
my,552,dependent,nmod:poss,name
name,553,dependent,nsubj,absurd
name,553,head,nmod:poss,my
be,554,dependent,cop,absurd
absurd,555,head,punct,—
absurd,555,head,nsubj,name
absurd,555,head,cop,be
absurd,555,head,advmod,too
